기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20223,R,전통시장,3130175,신촌 상인회(신촌상점가),949334713.0,44398.0,660694654.0,288640059.0
20223,A,골목상권,3110511,연희초등학교,1035706062.0,163422.0,754850123.0,280855939.0
20223,A,골목상권,3110837,숭실대입구역 1번,1212597816.0,193408.0,889034766.0,323563050.0
20223,A,골목상권,3110519,서대문구보건소별관,531012365.0,79783.0,351897653.0,179114712.0
20223,A,골목상권,3110961,언주역 3번,400369630.0,59344.0,318282564.0,82087066.0
20223,D,발달상권,3120196,서울세관,829932697.0,122687.0,679849098.0,150083599.0
20223,D,발달상권,3120227,잠실역,1895392271.0,347765.0,1405732594.0,489659677.0
20223,R,전통시장,3130139,강북종합전통시장(강북종합골목시장),277721840.0,37362.0,191183073.0,86538767.0
20223,A,골목상권,3110717,남구로역 2번,723349420.0,99817.0,517809802.0,205539618.0
20223,A,골목상권,3110902,사당역 4번,1111139884.0,166163.0,785288795.0,325851089.0
20223,A,골목상권,3110390,방학초등학교,354830183.0,55179.0,243603412.0,111226771.0
20223,A,골목상권,3110394,방학중학교,383357500.0,55818.0,268037092.0,115320408.0
20223,R,전통시장,3130314,풍납시장,365774504.0,51965.0,254764084.0,111010420.0
20223,A,골목상권,3110856,미성초등학교,371539258.0,54637.0,264281205.0,107258053.0
20223,A,골목상권,3110182,용두희망어린이공원,173764699.0,24956.0,131976683.0,41788016.0
20223,D,발달상권,3120101,합정역,3830318916.0,549090.0,2901555288.0,928763628.0
20223,A,골목상권,3110873,당곡중학교,648907965.0,107220.0,467237926.0,181670039.0
20223,D,발달상권,3120213,삼성중앙역,2054639600.0,306886.0,1670391876.0,384247724.0
20223,A,골목상권,3111083,GS강동자이아파트,470981570.0,62218.0,351756128.0,119225442.0
20223,A,골목상권,3111078,굽은다리역 4번,648551809.0,91882.0,460260166.0,188291643.0
